"receiptsn5","receiptslogn5","receiptsn100","receiptslogn100"
1162667.8,13.6174202891596,1164095.87,13.7995012181
990814.8,13.6904235523905,1160757.9,13.7674501388999
918402.2,13.6208037355505,1148450.28,13.739157030151
1387479,14.076089826927,1133800.43,13.7341997742553
1012946.4,13.5868511450348,1106614.67,13.6949286186716
1069315.8,13.4492981350287,1082181.85,13.6602484264125
1159811.8,13.8907365773738,1129326.8,13.7416425514202
1267056.8,13.9668149256703,1174251.86,13.7707035647003
622126.8,13.2844963918072,1069501.72,13.763321192423
794158.2,13.3081415666166,1060243.57,13.738922210603
1213826.8,13.9277990409317,1111641.35,13.7378262330605
1473289.4,14.1680585954977,1047131.4,13.6938802499391
898766.8,13.4678887163512,1184886.33,13.7841144256233
1137103.4,13.8865906406683,1154391.04,13.7537062237428
910066.4,13.4802504854383,1026413.88,13.663214009877
1122758,13.893345571512,1010216.71,13.6701790076611
634629,13.2644025485136,1122380.55,13.7314781749514
1114716.4,13.7242133881985,1064114.09,13.6853079115929
773937,13.3941332307453,1039338.93,13.6488652249953
790460.6,13.5439654548782,1105875.1,13.7351269992333
941486,13.677813652888,1021065.7,13.6851400750598
1359145.8,13.9596128203086,1124701.18,13.7577473569509
748760.6,13.2872596068024,983593.86,13.6244507572
1042445.4,13.6381814826701,1043142.05,13.6732692263692
1192681,13.7359056681286,1072655.35,13.7164147063546
1272392.2,14.0159284235946,1134835.99,13.7723944854693
1288707.2,14.0053214624899,1047915.48,13.6745145441825
904994.2,13.6175876301069,1072288.55,13.6688034516622
1053936.2,13.818955241684,1109357.12,13.7026882180376
1145046.6,13.882934707092,1056003.6,13.7138456380263
1153882.6,13.7859531158139,1109367.09,13.6966466836063
1435210.6,13.9913810357909,1036002.06,13.6985154857106
1299958.2,13.9427533513963,1113444.26,13.7585008185893
831591.4,13.4817061400347,1126143.99,13.7460464513954
1166197,13.9277174698292,1048062.48,13.6555347738521
1385097.8,14.0269349540656,1097328.08,13.6966410929586
727029.2,13.2727005462579,1024520.98,13.6630564290583
1069477.8,13.856748386615,1191117.78,13.7619370241347
1040071.6,13.6912933347857,1037248.43,13.6641812295181
787935,13.5072251042002,1122992.39,13.70805791484
794998.8,13.4989932838233,1104105.15,13.7098196270255
634424.4,13.1287499713386,1067141.77,13.7293605387178
1090978.6,13.8875690773164,1134248.82,13.7194424236077
1557433.2,14.0512905543761,1181722.1,13.7487689418853
1547116.6,14.0979935306311,1116138.24,13.7249551873899
934679.6,13.6692328713976,1092245.59,13.6963685394747
1219578.2,13.7785136706397,1121397.17,13.7395331887662
1021666.8,13.8103058125329,1062304.51,13.7049705675938
709455.6,13.4284091701595,1174282.4,13.7667510001108
718896.2,13.3040451532335,1047894.95,13.6991399972697
1012603,13.7332084924276,1124412.76,13.7084504639903
1065576.6,13.8212880430513,1135741.6,13.7547682897473
1198241.6,13.824809994817,1038965.11,13.6916715925996
1021719.2,13.7018611569702,1231149.39,13.8221104691261
1070387.2,13.7064064108968,1077379.16,13.7311234825586
1503683.2,14.0586747094199,1096222.1,13.7183591007834
824931,13.4604407117732,1134962.62,13.7275881819517
859292,13.4322418182084,1106708.31,13.716443901836
1158197.4,13.8416197152932,1141713.17,13.7301802426328
705645.6,13.3908711970387,1076101.85,13.7014308784121
779143.2,13.4813686017804,1057483.39,13.6603944198412
1218400.8,13.7548893531899,1065173.78,13.7138989285426
669626.8,13.3647711967137,1066470.08,13.7236747993383
1503338,14.1206385658692,1112137.34,13.7093629323424
1406670.4,14.0507928254212,1157515.63,13.7262713724462
1169801.6,13.9162877933715,1061552.99,13.6969952072299
898630.8,13.4026633764593,1065787.35,13.728648050351
584373,13.2139336355284,1071545.35,13.7098488226135
801669.6,13.5780213019576,1199494.63,13.7610767938602
856771.2,13.4419901245394,1034522.83,13.6806354621137
3017536.8,14.4763812004911,1170918.59,13.7497030756069
475861.4,12.9510043738163,966854.12,13.6666279473395
675566.4,13.2942533043809,1066078.44,13.6397799648772
1448711.4,14.1269357236378,1086569.32,13.730349123728
1490663,14.0871957940489,1177427.57,13.7890625622206
908987.8,13.5032135332113,1118130.26,13.68819163287
1239649.4,13.9403925123859,1207471.16,13.7804489409646
924129.2,13.428169269779,1077211.93,13.6678952472694
747639,13.4679516052968,1182087.37,13.7852442547546
878139,13.5888978429264,1171360.48,13.719623605271
1266079.8,13.8340574191282,1042508.9,13.6873203378379
1524083.6,14.1657992183705,1048676.8,13.6966859037155
1088857.4,13.8349369959928,1085378.3,13.7184573530456
703437.2,13.371002956219,1045782.6,13.6958920916702
932813.2,13.6210465011528,1145727.1,13.7366098380584
998703.6,13.6968334734009,1161126.07,13.7570020047015
1221865.8,13.8909611807517,1050566.26,13.668795818027
1016452.8,13.5539082265153,1095000.39,13.6425723443936
1752315.4,14.1730927528209,1071123.31,13.7084390813683
928718.6,13.5811130886019,1071001.05,13.6949034425526
1802510.2,14.1652843312531,1154905.85,13.7248643278159
1625497.2,14.1371996529548,990168.6,13.6174058842833
945462.8,13.6905262628052,1137873.93,13.802701642562
1296955.8,13.893530335471,1008911.71,13.5978539566902
805577.8,13.5483805359648,1086364.19,13.6857394285928
1019355.6,13.7902996886541,1010472.73,13.6902600428004
1269911,13.995664893177,1081808.87,13.7124372619977
1199754.4,13.8469555732022,1094096.11,13.6865387950949
660269.8,13.2758688548528,1197203.19,13.7978033978206
874035.2,13.5078922261047,1116094.15,13.74274671723
1069874.8,13.7409384927918,1150828.38,13.7506304033713
1531171.6,13.9786055523672,1192432.42,13.7644262020218
607593.4,13.2016062389368,1138350.73,13.7882329289529
1765231.4,14.1585910410561,1128278.4,13.7170812058084
1336042.8,14.0344645425044,1056839.16,13.6953396274114
792625.2,13.4431360793082,1079815.15,13.7652575531958
952719,13.4855150583493,1094198.29,13.6942802975611
656827.2,13.1599705436373,1027600.1,13.6574552945031
1206058.2,13.9471733752158,1154267.8,13.785876463053
1145912.4,13.8218109226926,1058990.78,13.7039700052767
931952,13.5200497393962,1121731.77,13.706040346085
1199021.8,13.9340866813822,1060895.88,13.7080959491625
1275312.4,13.9808105641308,1061101.85,13.6646956500731
1572570.2,14.1017137997838,1128190.83,13.737826140765
969185.2,13.7246662175072,1020563.56,13.6772551200716
860424.4,13.5594771331828,1162221.35,13.8035574692274
901801,13.6596640452838,1011004.16,13.6714622096376
1174700.8,13.8034670794724,1034507.36,13.7057794140931
1482990.2,14.1549114965351,1126430.1,13.7375168593171
878580.4,13.558255591108,1123460.66,13.7256955154274
