totexp,food,hhincomepc
2018.984253,984.4009399,3450
6118.343262,2315.67627,200
3131.169922,1032.58667,22805
12631.28711,1265.370728,9672
8930.933594,4784.434082,4240
1348.947144,697.2804565,7520
2305.921875,1357.755371,12390
1876.841187,885.6745605,4508.571429
2935.806396,1748.639648,2206.769231
5565.18457,2373.517822,8530.8
19146.71484,1924.464722,8514.285714
1732.382568,960.7158813,4125
2668.137939,1688.554688,3066.666667
2670.437012,791.6869507,3742.857143
2924.922363,938.8389282,7596.419811
826.4165649,585.583252,3133.333333
4868.257324,2070.59082,8685.5
1341.40564,698.9055786,3444.2
714.6022339,506.6022339,7881.666667
1985.200928,1064.867554,6276.488469
843.0032349,448.8366089,8840
4944.75,2332.666504,300
1692.83374,625.6670532,1405.714286
1454.117554,950.2841797,8874.75
1998.631104,1309.131104,4832.595388
2583.981445,1220.064697,2640.875
1065.591064,655.4243774,6400
960.7928467,635.2928467,1631.222222
2771.137207,2253.803711,3441.668036
5628.666504,1310.583374,50652.5
9350.208008,1529.708374,3991.666667
1710.039185,1226.789185,5397.25
2327.958252,1688.125,1630.5
5475.625,605.041687,17295.83333
2220,898.083313,3266.666667
3293.833252,1709,5366.666667
3763,1833,8533.333333
5749.708496,901.375,5412.5
21551.08398,1405.666626,1856.9
5029.666504,1392.5,8200
6060.416504,1530.083374,2363
2331.416748,1457.583374,2174.444444
3020.875,1605.875,2837.333333
1169.291626,765.291687,4954.666667
4921.666504,1121.25,12900
2677.0354,796.1187134,3666.666667
1833.006104,751.0060425,1871
7036.931152,813.9309692,7140
1600.416626,731.5,1200
1286.799561,678.6328735,370
4517.772949,961.5229492,2716
296.3333435,0,3377.142857
1032.166626,307,25132.94928
4707.666504,1224.833374,2800
1861.333374,907.833313,6240
1711.166626,1012.833313,5535
2648.666748,815.916687,4636.666667
1508.083374,767.5,216.6666667
9786.887695,6783.220703,5591.284791
3362.744629,1960.220581,616.5411108
2315.416748,985,5555.555556
822.5,0,13660
2664.916748,1718.333374,43160
6648.083496,1570.5,2250
4384,1370.166626,6456.068463
3432.583252,1352.583374,8043.333333
11605,1863.333374,2860
2499.333252,1344.166626,495
1607.166626,700,17796
8438.833008,2058.666748,1000
1687.333374,1039.833374,3240
10114.08301,2113.416748,6400
3388.5,1539.666626,14750
1739.75,786.666687,5893.6
3203.166748,1281.5,1266.666667
3114.083252,1362.166626,3354.285714
2713,988.166687,2837.333333
3479.166748,1935,603.4631414
1904.556396,826.5563965,3237
960.0512695,442.0512695,1575
2613.166748,912.25,5585.714286
3281.130615,1588.963867,2325
4122.083496,729.416687,3828.571429
3079.083984,1825.500732,3018
2303.166748,1265,1963.636364
2913.533691,873.2005005,3900
2009.916626,1076.583374,241.25
3166.836914,1361.503418,2340
1443.25,763.166687,5000
5453.821777,1789.905151,14022.30769
1355.416626,606.083313,800
1579.833374,825.666687,480
2651.4375,1379.6875,266.6666667
7761.394531,1690.811279,6171.428571
3678.638184,1248.054932,960
3066.057129,1041.307129,1800
5418.974609,2654.724609,11730
4885.745117,479.5786133,8919.428571
4572.243652,1244.576904,31860
3673.758301,863.0083618,637.0833333
4900.762695,1402.012695,1395.555556
5411.706055,2172.539307,4709.090909
4774.907227,2230.240723,15735
2995.772217,1100.605469,4457.142857
3343.809814,1364.393066,4023.6
3788.21875,1101.052124,2475
6772.534668,555.118103,936.0960626
6011.786133,1682.286011,4044.444444
4499.583496,1801.916626,141.1764706
1187.916626,483,1867.333333
4489.166504,1785.166626,1066.666667
2369.833252,1095.333374,6771.428571
3811.470703,1737.470581,4162.5
2813,997.666687,150
2875.75,1353.583374,2554
2105.083252,1260.75,5225
775.083313,478,1080
3222.833252,1200.333374,2764.285714
714.5,407,9300
2596,1655.166626,5400
1248.833374,713,2025
976.583313,648.75,5295
3452.416748,2021.166626,2571.384615
9628.178711,3379.262207,2486.666667
10343.11719,3443.950439,25509.33333
42978.58594,30865.16992,7170
5028.248047,2227.414795,1058.333333
4949.066406,1348.816284,5980
3510.709473,1911.042847,10512.44444
3640.258301,1491.508301,11766.66667
17491.20313,3318.037109,20471.42857
2802.231934,1211.398682,10303.33333
9672.40332,1789.987061,3890.694697
2713.497314,949.9140625,6085.454545
1364.213501,874.546875,10834
3236.333252,1548.666626,2732.5
1992.12146,1133.288208,5785.333333
6039.671875,2993.005371,8137
3035.984131,1630.650757,17935.71429
4206.666504,2173.25,4807.142857
3635,1845.333374,10099.375
886.5,300,4800
5404.5,1992.75,3276.454545
3042.916748,1750.416626,9012
6463.75,1838.166626,5258.875
3002.166748,1985.833374,6903.75
11463.83301,2537.166748,13310.86667
3842.875,1787.541626,5146.625
4182.546387,1976.213013,9860.777778
67015.25,2995.833252,9244.166667
6787.25,1674,5549.777778
15405.33789,1354.921753,9800
2054.666748,1118,1710
4883.916504,2979.666748,4605.866667
3823,1230.166626,3456.363636
1559.333374,810.5,1707
10442.25,2746.666748,1800
2225.75,764.666687,857.1428571
1251.916626,653.75,2580
3198,1271.666626,857.1428571
1613.583374,716.166687,4446.666667
5808.333496,2107.666748,4666.666667
2142.916748,1161.166626,3771.428571
1481,623.25,5649.6
599,351.8333435,900
2337.916748,856.916687,2337
3212.880371,1370.333374,912.8917672
14759.41699,3871,3340
2920.416748,1415.083374,841.8181818
1873.761963,1062,2254.520555
3146.416748,1792.833374,3818
1742.750366,1038.750366,4400
5270.380371,2664.380371,26000
1878.75,1024.833374,5201.25
4828.359375,1874.776245,2612.857143
2316.830566,1167.580444,5506.875
2188.856934,1379.607056,2865.555556
3294.009766,629.7598267,20062
2643.19751,1285.030762,3512
2862.5,1396.666626,4412.888889
3082.333252,2026.75,5963.3
3404.320801,1320.320679,9557.777778
1896.916626,1118.583374,5271.428571
1774.179077,1130.262329,2091.714286
1772.59375,771.427124,6025
3435.666748,2021.833374,27296
3933.833252,1621,6600
1700.766846,1030.183594,6400
4382.387695,2658.970947,16210
2164.347656,1250.181152,3333.333333
3292.770752,2034.104248,8899.132362
5830.161133,1856.161133,8676.428571
784.9626465,463.1293335,9700
1764.264404,1133.681152,1504.857143
5476.423828,2393.340332,7265.555556
1254.180298,887.4302979,5995.666667
1917.986572,1147.986572,20396.94293
1754.041382,951.2080688,10623.57143
1572.934326,986.2676392,7470
5865.744141,2077.410889,3280
1411.824341,597.6576538,4296.666667
2656.744141,953.6608887,13726.5
1767.083374,1058.75,6783.333333
3856.666748,1410.083374,10958.125
3861.027832,2258.027832,4952.5
7844.861328,1524.611084,3171.428571
3305.444336,2021.777832,11926
3533.222168,2302.555664,5676.14859
1245.076416,687.493042,13826.66667
4630.25,2308.916748,6826.666667
1153.361084,480.277771,6252
2375.722168,1376.388916,1325
2812.194336,1066.694458,88840
2509.013916,1181.680542,23685
1954.444458,820.694458,6158.333333
1556.180542,989.930542,7950
3533.25,1707.583374,10598.85714
2994.833252,1971.5,5478
2055.333252,1752.166626,8268.8
2790.083252,1602.666626,4337.777778
3703.416748,1514.416626,3752.727273
4196.75,1191.666626,11693.75
1196.25,820.5,3900
811.1514893,308.6515198,7210
1997.416626,882.333313,2576
2040.583374,932.583313,2057.777778
1314.902832,811.736084,6514.8
2651.833252,1563.916626,4545.714286
2379.333252,1294.333374,7328.571429
2602.333252,1068.5,9611.5
1662.083374,983.5,3908
1963.666626,879.333313,7516.4
2028.333374,1283,11888.8
6501.166504,1101.5,4456
3504.166748,1560.25,16625.33333
5925.788086,2043.788208,3942.857143
4062.75,2358.5,7661.625
2795,906.583313,9014.285714
1989.25,859.583313,3300
2305.916748,1097,4110
2071.916748,846.916687,25711.42857
1005.416687,866.083313,23820
5050,2038.666626,9940.833333
3782.75,823.416687,4400
