"wage","age","educ","exper","union","female","married","urban"
8.03750038146973,24,7,10,1,0,0,1
3.66249990463257,41,7,27,1,0,1,1
5.53749990463257,36,6,23,1,0,1,1
4.91249990463257,37,8,22,1,0,1,1
4.15000009536743,37,5,25,1,1,1,1
6.16249990463257,52,8,37,1,0,1,1
7.78749990463257,42,6,29,1,1,1,1
6.16249990463257,25,10,8,1,0,0,1
7.59375,35,8,20,1,1,0,1
9.24374961853027,42,8,27,1,0,1,1
1.28750002384186,40,6,27,1,1,1,1
60.2750015258789,18,7,4,1,0,0,1
7.41279077529907,42,8,27,0,1,0,1
8.34375,41,9,25,1,0,1,1
6.16249990463257,23,8,8,0,0,0,1
3.125,20,7,6,1,1,0,1
2.41249990463257,49,6,36,1,0,1,1
27.4562492370605,36,8,21,0,0,1,1
12.9937496185303,35,8,20,0,1,1,1
3.78125,31,1,23,0,0,1,0
3.78125,50,0,43,0,0,1,0
0.744791686534882,21,4,10,0,1,0,0
3.78125,22,3,12,0,0,1,0
1.60416662693024,24,9,8,1,1,1,0
3.81111121177673,28,0,21,1,0,1,0
3.77777767181396,38,1,30,0,1,1,0
0.787500023841858,37,1,29,0,1,0,0
1.84444439411163,26,3,16,1,0,0,0
1.84444439411163,25,6,12,1,0,0,0
1.84444439411163,24,5,12,1,1,0,0
1.71111106872559,29,6,16,1,1,0,0
1.85555553436279,24,1,16,0,0,1,0
3.72916674613953,20,7,6,0,1,1,0
1.85555553436279,16,4,5,1,0,0,0
1.46666669845581,21,8,6,1,0,0,0
1.52222228050232,17,8,2,1,1,0,0
1.65555560588837,48,5,36,1,0,1,0
1.71111106872559,30,5,18,0,1,0,0
3.87777781486511,27,7,13,1,0,1,0
1.64444446563721,29,4,18,1,0,0,0
1.85555553436279,28,4,17,1,1,0,0
1.73333334922791,24,8,9,1,1,1,0
4.22222232818604,39,8,24,1,0,1,0
1.89999997615814,40,6,27,1,1,1,0
1.71111106872559,22,4,11,1,1,0,0
1.71111106872559,50,0,43,0,0,1,0
