"","name","confirm","suspect","dead","deadRate","showRate","heal","healRate","showHeal"
"73","Puerto Rico",316,0,12,"3.8","FALSE",0,"0","FALSE"
"74","Bulgaria",313,0,3,"0.96","FALSE",4,"1.28","FALSE"
"75","Tunisia",312,0,8,"2.56","FALSE",2,"0.64","FALSE"
"76","Uruguay",309,0,1,"0.32","FALSE",6,"1.94","FALSE"
"77","Kazakhstan",302,0,1,"0.33","FALSE",21,"6.95","FALSE"
"78","Costa Rica",295,0,2,"0.68","FALSE",3,"1.02","FALSE"
"79","Kuwait",266,0,0,"0","FALSE",72,"27.07","FALSE"
"80","Jordan",259,0,3,"1.16","FALSE",18,"6.95","FALSE"
"81","Republika Severna Makedonija",259,0,6,"2.32","FALSE",3,"1.16","FALSE"
"82","Moldova",231,0,2,"0.87","FALSE",2,"0.87","FALSE"
"83","San Marino",224,0,22,"9.82","FALSE",6,"2.68","FALSE"
"84","Burkina Faso",222,0,12,"5.41","FALSE",23,"10.36","FALSE"
"85","Cyprus",214,0,6,"2.8","FALSE",15,"7.01","FALSE"
"86","Albania",212,0,10,"4.72","FALSE",33,"15.57","FALSE"
"87","Vietnam",194,0,0,"0","FALSE",52,"26.8","FALSE"
"88","Oman",179,0,0,"0","FALSE",29,"16.2","FALSE"
"89","Côte d'Ivoire",165,0,1,"0.61","FALSE",4,"2.42","FALSE"
"90","Senegal",162,0,0,"0","FALSE",28,"17.28","FALSE"
"91","Palestinian Territory",161,0,1,"0.62","FALSE",18,"11.18","FALSE"
"92","Ghana",152,0,5,"3.29","FALSE",2,"1.32","FALSE"
"93","Uzbekistan",149,0,2,"1.34","FALSE",7,"4.7","FALSE"
"94","Malta",149,0,0,"0","FALSE",2,"1.34","FALSE"
"95","Afghanistan",145,0,4,"2.76","FALSE",2,"1.38","FALSE"
"96","Cameroon",142,0,6,"4.23","FALSE",5,"3.52","FALSE"
"97","Honduras",139,0,1,"0.72","FALSE",3,"2.16","FALSE"
"98","Brunei",127,0,1,"0.79","FALSE",38,"29.92","FALSE"
"99","Sri Lanka",122,0,1,"0.82","FALSE",11,"9.02","FALSE"
"100","Venezuela",119,0,2,"1.68","FALSE",39,"32.77","FALSE"
"101","Cuba",119,0,3,"2.52","FALSE",4,"3.36","FALSE"
"102","Nigeria",111,0,1,"0.9","FALSE",3,"2.7","FALSE"
"103","Mauritius",107,0,2,"1.87","FALSE",0,"0","FALSE"
"104","Cambodia",103,0,0,"0","FALSE",21,"20.39","FALSE"
"105","Gambia",98,0,0,"0","FALSE",18,"18.37","FALSE"
"106","Belarus",94,0,0,"0","FALSE",32,"34.04","FALSE"
"107","Montenegro",85,0,1,"1.18","FALSE",0,"0","FALSE"
"108","Kyrgyzstan",84,0,0,"0","FALSE",0,"0","FALSE"
"109","Democratic Republic of the Congo",81,0,8,"9.88","FALSE",3,"3.7","FALSE"
"110","Bolivia",81,0,0,"0","FALSE",0,"0","FALSE"
"111","Rwanda",70,0,0,"0","FALSE",0,"0","FALSE"
"112","Paraguay",64,0,3,"4.69","FALSE",1,"1.56","FALSE"
"113",NA,56,0,0,"0","FALSE",0,"0","FALSE"
"114","Kenya",50,0,1,"2","FALSE",1,"2","FALSE"
"115","Bangladesh",49,0,5,"10.2","FALSE",19,"38.78","FALSE"
"116","Madagascar",43,0,0,"0","FALSE",0,"0","FALSE"
"117","Monaco",43,0,0,"0","FALSE",1,"2.33","FALSE"
"118","Zambia",35,0,0,"0","FALSE",0,"0","FALSE"
"119","Guatemala",34,0,1,"2.94","FALSE",10,"29.41","FALSE"
"120","Uganda",33,0,0,"0","FALSE",0,"0","FALSE"
"121","Togo",30,0,1,"3.33","FALSE",7,"23.33","FALSE"
"122","Guyana",28,0,1,"3.57","FALSE",6,"21.43","FALSE"
"123","Mali",25,0,2,"8","FALSE",0,"0","FALSE"
"124","Djibouti",25,0,0,"0","FALSE",0,"0","FALSE"
"125","Ethiopia",23,0,0,"0","FALSE",2,"8.7","FALSE"
"126","Myanmar",20,0,1,"5","FALSE",0,"0","FALSE"
"127","Tanzania",19,0,0,"0","FALSE",1,"5.26","FALSE"
"128","Republic of the Congo",19,0,0,"0","FALSE",0,"0","FALSE"
"129","Niger",18,0,1,"5.56","FALSE",0,"0","FALSE"
"130","Maldives",17,0,0,"0","FALSE",11,"64.71","FALSE"
"131","Guinea",16,0,0,"0","FALSE",1,"6.25","FALSE"
"132","Equatorial Guinea",14,0,0,"0","FALSE",0,"0","FALSE"
"133","Mongolia",12,0,0,"0","FALSE",0,"0","FALSE"
"134","Eritrea",12,0,0,"0","FALSE",0,"0","FALSE"
"135","Namibia",11,0,0,"0","FALSE",0,"0","FALSE"
"136","Syria",10,0,1,"10","FALSE",0,"0","FALSE"
"137","Swaziland",9,0,0,"0","FALSE",0,"0","FALSE"
"138","Mozambique",8,0,0,"0","FALSE",0,"0","FALSE"
"139","Haiti",8,0,0,"0","FALSE",0,"0","FALSE"
"140","Lao People's Democratic Republic",8,0,0,"0","FALSE",0,"0","FALSE"
"141","Seychelles",8,0,0,"0","FALSE",0,"0","FALSE"
"142","Suriname",8,0,0,"0","FALSE",0,"0","FALSE"
"143","Zimbabwe",7,0,1,"14.29","FALSE",0,"0","FALSE"
"144",NA,7,0,0,"0","FALSE",0,"0","FALSE"
"145","Gabon",7,0,1,"14.29","FALSE",0,"0","FALSE"
"146","Angola",7,0,2,"28.57","FALSE",0,"0","FALSE"
"147","Sudan",6,0,1,"16.67","FALSE",0,"0","FALSE"
"148","Holy See  [Vatican City State]",6,0,0,"0","FALSE",0,"0","FALSE"
"149","Benin",6,0,0,"0","FALSE",0,"0","FALSE"
"150",NA,6,0,0,"0","FALSE",0,"0","FALSE"
"151","Cape Verde",6,0,1,"16.67","FALSE",0,"0","FALSE"
"152","Nepal",5,0,0,"0","FALSE",1,"20","FALSE"
"153",NA,5,0,0,"0","FALSE",2,"40","FALSE"
"154","Chad",5,0,0,"0","FALSE",0,"0","FALSE"
"155","Nicaragua",4,0,1,"25","FALSE",0,"0","FALSE"
"156","Bhutan",4,0,0,"0","FALSE",0,"0","FALSE"
"157","Gambia",4,0,1,"25","FALSE",0,"0","FALSE"
"158","Liberia",3,0,0,"0","FALSE",0,"0","FALSE"
"159","Somalia",3,0,0,"0","FALSE",0,"0","FALSE"
"160","Belize",2,0,0,"0","FALSE",0,"0","FALSE"
"161","Guinea-Bissau",2,0,0,"0","FALSE",0,"0","FALSE"
"162","Papua New Guinea",1,0,0,"0","FALSE",0,"0","FALSE"
"163","Timor-Leste",1,0,0,"0","FALSE",0,"0","FALSE"
